Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
1,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
2,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
3,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
4,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
5,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
6,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
7,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
8,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
9,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
10,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
11,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
12,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
13,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
14,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
15,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
16,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
17,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
18,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
19,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
20,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
21,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
22,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
23,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
24,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
25,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
26,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
27,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
28,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
29,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
All,200,320,200,200,4000,4000,4000,4000,2000,2000,0,0,1,0,0,0,0,0
