Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
1,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
2,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
3,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
4,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
5,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
6,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
7,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
8,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
9,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
10,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
11,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
12,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
13,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
14,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
15,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
16,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
17,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
18,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
19,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
20,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
21,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
22,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
23,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
24,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
25,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
26,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
27,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
28,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
29,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
All,60,360,180,180,5000,5000,5000,5000,2500,2500,500,500,3,0,0,0,0,0
