Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
1,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
2,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
3,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
4,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
5,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
6,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
7,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
8,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
9,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
10,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
11,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
12,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
13,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
14,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
15,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
16,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
17,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
18,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
19,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
20,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
21,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
22,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
23,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
24,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
25,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
26,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
27,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
28,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
29,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
All,-20,370,900,900,20000,20000,20000,20000,7500,7500,0,0,1,0,0,0,0,0
