Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
1,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
2,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
3,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
4,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
5,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
6,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
7,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
8,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
9,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
10,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
11,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
12,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
13,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
14,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
15,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
16,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
17,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
18,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
19,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
20,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
21,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
22,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
23,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
24,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
25,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
26,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
27,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
28,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
29,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
All,100,350,450,450,10000,10000,10000,10000,4000,4000,0,0,1,0,0,0,0,0
