Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
1,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
2,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
3,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
4,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
5,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
6,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
7,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
8,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
9,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
10,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
11,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,140,370,400,400,9000,9000,9000,9000,3500,3500,0,0,1,0,0,0,0,0
