Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
1,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
2,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
3,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
4,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
5,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
6,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
7,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
8,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
9,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
10,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
11,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
12,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
13,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
14,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
15,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
16,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
17,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
18,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
19,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
20,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
21,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
22,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
23,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
24,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
25,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
26,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
27,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
28,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
29,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
All,240,370,900,900,20000,20000,20000,20000,7500,7500,0,0,0,0,0,0,0,0
