Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,40,150,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
1,40,150,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
2,40,150,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
3,40,174,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
4,40,174,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
5,40,174,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
6,40,199,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
7,40,199,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
8,40,199,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
9,40,223,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
10,40,223,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
11,40,223,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
12,40,248,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
13,40,248,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
14,40,248,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
15,40,272,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
16,40,272,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
17,40,272,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
18,40,297,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
19,40,297,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
20,40,297,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
21,40,321,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
22,40,321,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
23,40,321,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
24,40,346,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
25,40,346,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
26,40,346,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
27,40,370,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
28,40,370,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
29,40,370,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
All,40,370,600,600,14000,14000,14000,14000,5000,5000,0,0,1,0,0,0,0,0
