Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,0
1,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,0
2,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,0
3,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,8
4,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,8
5,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,8
6,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,16
7,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,16
8,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,16
9,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,24
10,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,24
11,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,24
12,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,32
13,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,32
14,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,32
15,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,40
16,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,40
17,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,40
18,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,48
19,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,48
20,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,48
21,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,56
22,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,56
23,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,56
24,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,64
25,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,64
26,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,64
27,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,72
28,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,72
29,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,72
All,40,350,700,700,15000,15000,15000,15000,6000,6000,0,0,1,0,1,100,100,72
