Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,0
1,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,0
2,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,0
3,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,20
4,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,20
5,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,20
6,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,40
7,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,40
8,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,40
9,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,60
10,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,60
11,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,60
12,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,80
13,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,80
14,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,80
15,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,100
16,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,100
17,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,100
18,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,120
19,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,120
20,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,120
21,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,140
22,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,140
23,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,140
24,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,160
25,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,160
26,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,160
27,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,180
28,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,180
29,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,180
All,40,350,550,550,12000,12000,12000,12000,5000,5000,0,0,1,0,1,100,100,180
